# ISO 639 language codes for subtitle lookup. Columns: code, English name, optional aliases (comma-separated).
# Regenerate trove JSON: python3 scripts/generate-language-trove.py
de	German	deu,ger
en	English	eng
es	Spanish	spa
fr	French	fra,fre
it	Italian	ita
pt	Portuguese	por
ru	Russian	rus
ja	Japanese	jpn
zh	Chinese	zho,chi
ko	Korean	kor
ar	Arabic	ara
hi	Hindi	hin
nl	Dutch	nld,dut
pl	Polish	pol
sv	Swedish	swe
no	Norwegian	nor
da	Danish	dan
fi	Finnish	fin
cs	Czech	ces,cze
sk	Slovak	slk,slo
hu	Hungarian	hun
ro	Romanian	ron,rum
bg	Bulgarian	bul
hr	Croatian	hrv
sr	Serbian	srp
sl	Slovenian	slv
uk	Ukrainian	ukr
el	Greek	ell,gre
tr	Turkish	tur
he	Hebrew	heb
th	Thai	tha
vi	Vietnamese	vie
id	Indonesian	ind
ms	Malay	msa,may
tl	Tagalog	tgl
ca	Catalan	cat
eu	Basque	eus,baq
gl	Galician	glg
is	Icelandic	isl,ice
ga	Irish	gle
cy	Welsh	cym,wel
mt	Maltese	mlt
lv	Latvian	lav
lt	Lithuanian	lit
et	Estonian	est
sq	Albanian	sqi,alb
mk	Macedonian	mkd,mac
bs	Bosnian	bos
be	Belarusian	bel
ka	Georgian	kat,geo
hy	Armenian	hye,arm
az	Azerbaijani	aze
kk	Kazakh	kaz
uz	Uzbek	uzb
fa	Persian	fas,per
ur	Urdu	urd
bn	Bengali	ben
ta	Tamil	tam
te	Telugu	tel
ml	Malayalam	mal
kn	Kannada	kan
mr	Marathi	mar
gu	Gujarati	guj
pa	Punjabi	pan
ne	Nepali	nep
si	Sinhala	sin
my	Burmese	mya,bur
km	Khmer	khm
lo	Lao	lao
mn	Mongolian	mon
bo	Tibetan	bod,tib
am	Amharic	amh
sw	Swahili	swa
zu	Zulu	zul
af	Afrikaans	afr
xh	Xhosa	xho
yo	Yoruba	yor
ig	Igbo	ibo
ha	Hausa	hau
so	Somali	som
mg	Malagasy	mlg
fil	Filipino
haw	Hawaiian
mi	Maori	mri,mao
sm	Samoan	smo
fj	Fijian	fij
la	Latin	lat
eo	Esperanto	epo
jv	Javanese	jav
su	Sundanese	sun
ceb	Cebuano	ceb
ht	Haitian Creole	hat
lb	Luxembourgish	ltz
fy	Frisian	fry
gd	Scottish Gaelic	gla
br	Breton	bre
co	Corsican	cos
oc	Occitan	oci
rm	Romansh/roh
sc	Sardinian	srd
wa	Walloon	wln
yi	Yiddish	yid
ku	Kurdish	kur
ps	Pashto	pus
tg	Tajik	tgk
tk	Turkmen	tuk
ky	Kyrgyz	kir
tt	Tatar	tat
ba	Bashkir	bak
cv	Chuvash	chv
ug	Uyghur	uig
dv	Divehi	div
as	Assamese	asm
or	Odia	ori
sa	Sanskrit	san
sd	Sindhi	snd
cn	Chinese (unspecified)	zho
und	Undetermined	und
mul	Multiple languages	mul
zxx	No linguistic content	zxx
